SP Number,ImageUrl,Name,Background,Skull,Eyes,Clothes,Headwear,Accessory,Background,Skull,Eyes,Clothes,Headwear,Accessory,Price,Price USD,Score,Top,Rank
2836,https://d1mx8bduarpf8s.cloudfront.net/QmcMXaXkZYz8vm54gKgKBWp3bTssLbNYKaurwpg1BHgVYc,Skeleton Punk #2836,Brick Wall,Beige,Holy,AI,Purple Halo,Cigar,4.88,16.63,2.57,2.33,2.39,10.21,  ,0,160.0315871199868,31.64%,1602
2690,https://d1mx8bduarpf8s.cloudfront.net/QmY9iHFtbYupatGJk8XJMjyWdzPrScyTgVNyxhefuirxFM,Skeleton Punk #2690,Gray Graveyard,Grey,Purple,Iced Out Platinum Chain,Green Hair,Silver Earring,7.25,17.75,6.18,1.13,3.53,13.72,15  LUNA,1551,160.02914332508826,31.65%,1603
4796,https://d1mx8bduarpf8s.cloudfront.net/QmZdFqqriGu12jcTzozEK2vkSzy2JSmEqi17ovRPB6cwPC,Skeleton Punk #4796,Sunrise,Beige,Blue,Black Suit,Police Hat,Golden Cigar,3.65,16.63,7.94,3.36,3.02,1.95,  ,0,160.02202934113785,31.67%,1604
2928,https://d1mx8bduarpf8s.cloudfront.net/QmYFzBmRmKe4mmeyX9euykcMbkq7XL1Lj8AiPJtVTnZXEf,Skeleton Punk #2928,Wild West,Grey,Blindfold,Golden Pads,Purple Mohawk,Golden Earring,5.81,17.75,7.44,1.28,3.10,7.39,5.5  LUNA,569,159.99235234099908,31.69%,1605
2381,https://d1mx8bduarpf8s.cloudfront.net/QmaftJ2wNwpByxNLT2LzybfiZtFiZbd5hvLFuSb8qMsjQE,Skeleton Punk #2381,Gray Graveyard,Demon,Blindfold X,Punk Shirt,Cowboy Hat,Big Golden Earring,7.25,8.27,1.97,6.20,3.02,2.92,  ,0,159.96592794396543,31.71%,1606
80,https://d1mx8bduarpf8s.cloudfront.net/QmXfkdDyQ5G5b2YxpqUzQWCRSmtgWC2M4rX1KYZtxAhmcC,Skeleton Punk #80,Purple Graveyard,Afflicted,Blue,Jetpack Suit,Red Bandana,Cigar,4.98,7.90,7.94,1.80,2.03,10.21,16.69  LUNA,1726,159.96062419911257,31.73%,1607
1164,https://d1mx8bduarpf8s.cloudfront.net/QmSjndNqY9jrLFKzwv7NvBAfWcwXGhsXTKK4DxD7P2Wvnu,Skeleton Punk #1164,Erie,Lavender,Hypnotising,Knight,Headband,None,5.04,7.50,2.09,1.90,4.29,34.52,  ,0,159.94215492612443,31.75%,1608
3933,https://d1mx8bduarpf8s.cloudfront.net/QmVF41BAS7s1yCdiZVV5yEeR8dVAKBRdrVsJJxh4pSA5mV,Skeleton Punk #3933,Sunrise,Grey,Blue,Thorstarter Shirt,Golden Crown,Cigar,3.65,17.75,7.94,2.84,1.44,10.21,  ,0,159.93441403791925,31.77%,1609
1429,https://d1mx8bduarpf8s.cloudfront.net/QmYsbMi5jKZjvRR7ohpGVp6Q3M7HJGRWhQ3AQCQuoyboew,Skeleton Punk #1429,Lunar Landing,Void,Dead,Golden Suit,Green Headphones,Silver Earring,3.28,15.38,4.25,1.62,3.30,13.72,  ,0,159.92593610664292,31.79%,1610
2172,https://d1mx8bduarpf8s.cloudfront.net/QmZMjZCserDChTExf2i2MAphNeSFMRjqia7PL59iTskxTx,Skeleton Punk #2172,Space,Afflicted,Black,Skelly Tee,Purple Halo,Golden Earring,1.46,7.90,9.46,7.78,2.39,7.39,  ,0,159.90859598409023,31.81%,1611
1908,https://d1mx8bduarpf8s.cloudfront.net/QmPiJx7RXBQGs6FVC3ZSLQyVMHWRtv5WgcgTQKppafp8gF,Skeleton Punk #1908,Frosty Mountains,Beige,Green Glasses,Atlo Streetwear,Police Hat,Big Silver Earring,4.30,16.63,3.85,1.82,3.02,6.04,  ,0,159.90337743326756,31.83%,1612
3737,https://d1mx8bduarpf8s.cloudfront.net/Qmani4D4WsHMFJxstVnEswQNsA7A8Qv5ARH1kQHySQkend,Skeleton Punk #3737,Terra Planet,Icy,Blindfold X,Solar Powered,Purple Mohawk,None,5.77,14.08,1.97,2.01,3.10,34.52,  ,0,159.88371111036759,31.85%,1613
1674,https://d1mx8bduarpf8s.cloudfront.net/QmcKKk6mGTSRKLLAcVFNSJZyKoAMu43KgsC1gh4DzAFWei,Skeleton Punk #1674,Night Blue Planet,Afflicted,Blue,Motorcycle Jacket,Green Pompadour,Silver Earring,1.28,7.90,7.94,5.45,3.22,13.72,  ,0,159.86634891785044,31.87%,1614
908,https://d1mx8bduarpf8s.cloudfront.net/QmfGoHxhrfYPWsKkRJ39LyWdxuR8DZpMLsZKWcim9BUNfs,Skeleton Punk #908,Red Retro.jpg,Demon,3D Glasses,Prophet's Robe,Blue Bandana,Silver Cross,2.88,8.27,4.60,2.09,3.00,9.74,  ,0,159.865935593842,31.89%,1615
3786,https://d1mx8bduarpf8s.cloudfront.net/QmPKUhf392Xxm37VFDZPAJTnkmuMJ9NbJ1jrVeQ7gmnYGt,Skeleton Punk #3786,Frosty Mountains,Beige,Robot,Maryjane Shirt,Military Cap,Rose,4.30,16.63,2.13,3.24,3.61,3.99,  ,0,159.75198532724858,31.91%,1616
1046,https://d1mx8bduarpf8s.cloudfront.net/QmWhyLgcAQm934tV6C7jhtrKAVo15iYLRJNu74Lvy65EmD,Skeleton Punk #1046,Erie,Grey,Hypnotising,Wizard's Robe,Pirate Hat,None,5.04,17.75,2.09,2.13,2.73,34.52,  ,0,159.74690014224626,31.93%,1617
1231,https://d1mx8bduarpf8s.cloudfront.net/QmW21t5mYmYA5XnwzYVisS6RdWe33WWQ4gEZnSoVEv2Nsm,Skeleton Punk #1231,Lunar Landing,Lavender,Green,Jeans Shirt,Open Skull,Rose,3.28,7.50,7.74,3.89,1.92,3.99,  ,0,159.73178348684655,31.95%,1618
189,https://d1mx8bduarpf8s.cloudfront.net/QmaeRDucnFuX6EM6ZcUnWxQEHo54XNNd7C5qvZfGwnfkFK,Skeleton Punk #189,Terra Planet,Afflicted,Demon,Yellow Tracksuit,Black Hair,Silver Cross,5.77,7.90,1.46,4.29,3.61,9.74,25  LUNA,2585,159.71524013718567,31.97%,1619
3469,https://d1mx8bduarpf8s.cloudfront.net/QmPKStU1hKsNzEPqSmYWa3H26Qo3NibLGyQdotbx715Drq,Skeleton Punk #3469,Lunar Landing,Void,Blue,Wizard's Robe,Blue Headphones,Golden Earring,3.28,15.38,7.94,2.13,2.01,7.39,  ,0,159.67973553457236,31.99%,1620
3115,https://d1mx8bduarpf8s.cloudfront.net/Qmazw4uyQLgSfcAxiVcDH6yV6JrtEavHozcZMu1k1FSLH7,Skeleton Punk #3115,Mystical Desert,Lavender,Light Blue Glasses,Solar Powered,Purple Mohawk,Big Silver Earring,4.17,7.50,4.19,2.01,3.10,6.04,  ,0,159.6639637437401,32.01%,1621
3116,https://d1mx8bduarpf8s.cloudfront.net/QmXj6giz1LeNSvnmSm3TTojCiW4Z1BASnUVCK7cA3879wv,Skeleton Punk #3116,Sand Temple,Grey,Black,Toxic,Blue Headphones,None,3.00,17.75,9.46,1.74,2.01,34.52,  ,0,159.61027853923244,32.03%,1622
233,https://d1mx8bduarpf8s.cloudfront.net/QmZRedJRexzicLYXMhX3jE7V1CHRbBnYN2AAioEJXyEpPS,Skeleton Punk #233,Barren Night,Lavender,Purple VR,Jetpack Suit,Green Pompadour,None,3.36,7.50,3.73,1.80,3.22,34.52,  ,0,159.52106335979516,32.05%,1623
5058,https://d1mx8bduarpf8s.cloudfront.net/QmY9USjstTjfT1oH4Soy67k53bVU5iuYLZtpGy8yD5X5j2,Skeleton Punk #5058,Night,Void,Demon,Black Suit,Blue Mohawk,Silver Earring,6.85,15.38,1.46,3.36,3.04,13.72,7.49  LUNA,774,159.48441733580563,32.07%,1624
1545,https://d1mx8bduarpf8s.cloudfront.net/QmQXjsADmCD6VsLVHp1ap8n2byuRhmaAC7vzkE8trGQJ5f,Skeleton Punk #1545,Mystical Desert,Demon,Eyepatch,Golden Pads,Headband,None,4.17,8.27,5.19,1.28,4.29,34.52,  ,0,159.48179471539723,32.09%,1625
719,https://d1mx8bduarpf8s.cloudfront.net/QmSWxK46Apxxyy1CmuHtQwmduwvruS8ZYLngfn2Hwc1vG9,Skeleton Punk #719,Pyramid,Afflicted,Hypnotising,Lime Tracksuit,Viking Helmet,None,2.73,7.90,2.09,5.47,2.43,34.52,  ,0,159.4785824061686,32.11%,1626
2093,https://d1mx8bduarpf8s.cloudfront.net/QmeTcjsy2wV1cy5LAfrwrLj757e9wwBFYzkWo9gRPGPMZz,Skeleton Punk #2093,Gray Graveyard,Afflicted,Blindfold,King's Red Robe,Purple Mohawk,None,7.25,7.90,7.44,1.18,3.10,34.52,  ,0,159.44252810700976,32.13%,1627
714,https://d1mx8bduarpf8s.cloudfront.net/QmPEn8VfphdaNGAcbeoPpU8mGDWPEVwbXkoa2eAQWAWsBp,Skeleton Punk #714,Purple Retro.jpg,Icy,Holy,Iced Out Gold Chain,Cowboy Hat,None,3.67,14.08,2.57,1.99,3.02,34.52,  ,0,159.41571514588128,32.15%,1628
4858,https://d1mx8bduarpf8s.cloudfront.net/QmeQQdDPqHBDNCyjUw7xeMdNjfyM7sbvHYTo2FHKXPbxDs,Skeleton Punk #4858,Red Planet,Icy,Blindfold,Punk Shirt,Green Hair,Rose,1.44,14.08,7.44,6.20,3.53,3.99,15  LUNA,1551,159.39180630715032,32.17%,1629
1089,https://d1mx8bduarpf8s.cloudfront.net/QmeBmT3jEhT6eSz3LAKEqH2r4zV6EWGXsiGaaJCKMjfKvL,Skeleton Punk #1089,Ozone,Afflicted,Light Blue Glasses,Outlaw,None,Silver Cross,3.44,7.90,4.19,1.30,14.91,9.74,  ,0,159.35660349801057,32.19%,1630
280,https://d1mx8bduarpf8s.cloudfront.net/QmbXNXxcDvtjh9w5Rrp16XU1H31LTrzfHcyxcdKk2WLiVF,Skeleton Punk #280,Night Blue Planet,Grey,Blindfold,Knight,None,None,1.28,17.75,7.44,1.90,14.91,34.52,  ,0,159.32728846298198,32.21%,1631
2177,https://d1mx8bduarpf8s.cloudfront.net/QmTzqAUxL6pBN7H1oFKawDnrrJiFjYfHhBbfTCogiLzABy,Skeleton Punk #2177,Gray Graveyard,Demon,Blue Glasses,Yellow Tracksuit,Blue Headphones,Big Golden Earring,7.25,8.27,3.81,4.29,2.01,2.92,  ,0,159.32230651564254,32.23%,1632
1609,https://d1mx8bduarpf8s.cloudfront.net/QmcjAKdNJdFi2c4eTdEMCyHi8hPSAYNd94nWgCwQqECFrF,Skeleton Punk #1609,Mystical Desert,Icy,3D Glasses,Witch Pads,Viking Helmet,Silver Cross,4.17,14.08,4.60,1.82,2.43,9.74,  ,0,159.32230511314455,32.25%,1633
623,https://d1mx8bduarpf8s.cloudfront.net/QmbvkSyjzEoDuc7Wkx6SXL74GwieVTc3kKGCNohTLxwxf3,Skeleton Punk #623,Brick Wall,Void,Gray VR,Spock,Black Hair,Cigar,4.88,15.38,5.53,1.30,3.61,10.21,  ,0,159.28275528701008,32.27%,1634
3444,https://d1mx8bduarpf8s.cloudfront.net/QmThdL5mNrddCzvbUceALKbgdWyrWK6JzWDsdYqvWFtTvk,Skeleton Punk #3444,Retro Lightning,Void,Purple,Runic Mystery,Headband,Cigar,1.99,15.38,6.18,1.88,4.29,10.21,  ,0,159.25480912223804,32.29%,1635
1312,https://d1mx8bduarpf8s.cloudfront.net/QmRjrGpPmNiLy49NTLrMQs5PbnGMASaBNDUiwDqbNDFL88,Skeleton Punk #1312,Frosty Mountains,Beige,Pyrex Vision,Jeans Shirt,Green Pompadour,None,4.30,16.63,1.42,3.89,3.22,34.52,10  LUNA,1034,159.24703650351773,32.31%,1636
2559,https://d1mx8bduarpf8s.cloudfront.net/QmNavuxKSgvSQ47k4bPCAV9wt4DZFACUgEbEq3pavvRfY6,Skeleton Punk #2559,Pink Sky,Zombie,Blindfold,Spock,Police Hat,None,6.58,5.61,7.44,1.30,3.02,34.52,  ,0,159.19289097998944,32.33%,1637
2908,https://d1mx8bduarpf8s.cloudfront.net/QmfZN7U8YiyZVWd8BjXaEBeLkgiKnWQwFvUHXrh56bW86o,Skeleton Punk #2908,Lunar Landing,Beige,Purple,Witch Pads,Gray Hat,Rose,3.28,16.63,6.18,1.82,3.79,3.99,  ,0,159.18697480744004,32.35%,1638
3145,https://d1mx8bduarpf8s.cloudfront.net/QmPvVsTwRmgPBQpWD8W2bdtSHeUydHPyExiDgwcsRPLwPH,Skeleton Punk #3145,Pink Sky,Afflicted,Pyrex Vision,Skelly Tee,Purple Hair,None,6.58,7.90,1.42,7.78,2.21,34.52,  ,0,159.16464330462355,32.37%,1639
3281,https://d1mx8bduarpf8s.cloudfront.net/QmZH46UAuzhyLbDYgZYNw5j4EdKwBdSQumdKCMo3ZWFnKT,Skeleton Punk #3281,Purple Graveyard,Demon,Blindfold,Molten,Pirate Hat,Big Silver Earring,4.98,8.27,7.44,1.66,2.73,6.04,  ,0,159.1439037598294,32.39%,1640
4499,https://d1mx8bduarpf8s.cloudfront.net/QmQXLM1Egzjs2trxwevvGatH2TVdyQLNtQCPRjYdnk9of2,Skeleton Punk #4499,Erie,Void,Cool Glasses,King's Purple Robe,Black Pompadour,Big Silver Earring,5.04,15.38,2.23,2.27,3.65,6.04,  ,0,159.13039985948268,32.41%,1641
3622,https://d1mx8bduarpf8s.cloudfront.net/QmRUARyCiKmofhJXLcpSF52B8Pgh1eXcKDRnpZXKHLTzTY,Skeleton Punk #3622,Terra Planet,Grey,Robot,Solar Powered,Pirate Hat,None,5.77,17.75,2.13,2.01,2.73,34.52,  ,0,159.1040162841282,32.42%,1642
4542,https://d1mx8bduarpf8s.cloudfront.net/QmfUNnhhErCXxqLh8mKQ9yiQ4oKMCwrzWRYCqFyWUkG58W,Skeleton Punk #4542,Lunar Landing,Cold,Gray VR,Prophet's Robe,Blue Mohawk,Cigar,3.28,5.00,5.53,2.09,3.04,10.21,  ,0,159.05922143401727,32.44%,1643
1686,https://d1mx8bduarpf8s.cloudfront.net/QmaXcJL7viUodyC2XvGn36C4nazrq6LgU5ou3nKzVu86B6,Skeleton Punk #1686,Red Retro.jpg,Icy,Green,Molten,Viking Helmet,None,2.88,14.08,7.74,1.66,2.43,34.52,  ,0,159.05915431016925,32.46%,1644
599,https://d1mx8bduarpf8s.cloudfront.net/QmVrsQrrpifN2ukpw6jCHhedNnwumoN9Rz4dUypCoMcqt5,Skeleton Punk #599,Ozone,Demon,Green,Knight,Cap,Golden Earring,3.44,8.27,7.74,1.90,2.59,7.39,  ,0,159.0543299787061,32.48%,1645
1526,https://d1mx8bduarpf8s.cloudfront.net/QmXnZ56RTkouVo89ebvq5oLAAvHazjRKD3thxy6YQ3nFMN,Skeleton Punk #1526,New Land,Beige,Blindfold X,Police Uniform,Green Hair,Silver Cross,3.38,16.63,1.97,2.92,3.53,9.74,  ,0,159.04681115253797,32.50%,1646
4217,https://d1mx8bduarpf8s.cloudfront.net/QmYkDxUg39ADyhYEC1hM5GuYk6JY7wLpQe6VvS1v3qbMi9,Skeleton Punk #4217,Luart,Beige,Gray VR,Toxic,Green Headphones,Big Silver Earring,3.28,16.63,5.53,1.74,3.30,6.04,200  LUNA,20681,159.02381761028337,32.52%,1647
3164,https://d1mx8bduarpf8s.cloudfront.net/QmcvceELQSKaFBismzaWj2aPCk8ua5CWiQyR8BWe6JX83D,Skeleton Punk #3164,Pink Sky,Icy,Light Blue Glasses,Molten,Purple Hair,Silver Earring,6.58,14.08,4.19,1.66,2.21,13.72,  ,0,158.9827148870143,32.54%,1648
447,https://d1mx8bduarpf8s.cloudfront.net/QmabUu1H3bLxfRHkdG5GzC8tnbqBssrhN8CHg4ABHQHwUz,Skeleton Punk #447,Space,Void,Blindfold,Cyber Arm,Green Pompadour,Silver Cross,1.46,15.38,7.44,3.42,3.22,9.74,  ,0,158.97640126065016,32.56%,1649
1869,https://d1mx8bduarpf8s.cloudfront.net/QmYSJ53uLmgY71bQ3VDLagwHondcWXWoFBwKY2RkxiiD7g,Skeleton Punk #1869,Night,Icy,Blindfold X,Maryjane Shirt,Golden Bandana,Golden Earring,6.85,14.08,1.97,3.24,2.37,7.39,  ,0,158.95419996644767,32.58%,1650
2340,https://d1mx8bduarpf8s.cloudfront.net/Qmc2bKgzX1aCRmKoXc2hCWFK7MtejwkcRo6MzChPkQQ5Lj,Skeleton Punk #2340,Purple Graveyard,Afflicted,Eyepatch,Molten,Police Hat,Golden Earring,4.98,7.90,5.19,1.66,3.02,7.39,  ,0,158.93385140022133,32.60%,1651
4158,https://d1mx8bduarpf8s.cloudfront.net/QmPPXF8U1VisGPzro2CEWW4dJwdpd1spF7hp8WMajoc7kd,Skeleton Punk #4158,Night,Beige,Blindfold,Golden Pads,Pirate Hat,Silver Cross,6.85,16.63,7.44,1.28,2.73,9.74,  ,0,158.91542222198038,32.62%,1652
376,https://d1mx8bduarpf8s.cloudfront.net/QmPmjWydEivX64AFYmCv7jhnUZhouxiupHJ34NR3spDqse,Skeleton Punk #376,Frosty Mountains,Afflicted,Black,Molten,Red Bandana,None,4.30,7.90,9.46,1.66,2.03,34.52,8  LUNA,827,158.80917085138552,32.64%,1653
1258,https://d1mx8bduarpf8s.cloudfront.net/QmRSetcBNwSwzPHFyFyuK612FNWkKKouXYrZFUogZuNL4z,Skeleton Punk #1258,Purple Graveyard,Demon,Black,Outlaw,Red Pompadour,None,4.98,8.27,9.46,1.30,2.74,34.52,  ,0,158.80913457700186,32.66%,1654
3663,https://d1mx8bduarpf8s.cloudfront.net/QmY1hFgu1JQmNq8rjCcQczQUUj2QAKSrTriP7BPc9gwuiH,Skeleton Punk #3663,Brick Wall,Lavender,Blindfold X,King's Purple Robe,Black Pompadour,None,4.88,7.50,1.97,2.27,3.65,34.52,  ,0,158.773120834265,32.68%,1655
433,https://d1mx8bduarpf8s.cloudfront.net/QmZReCjZu1wKJeMDdAmCKGQ9SCfZt4my3hZ3LjJ2T2rUbt,Skeleton Punk #433,Sand Temple,Grey,Stoned,Yellow Tracksuit,Blue Headphones,Golden Cross,3.00,17.75,3.04,4.29,2.01,7.17,  ,0,158.76570940617242,32.70%,1656
4681,https://d1mx8bduarpf8s.cloudfront.net/QmVxRsUDEDe9PCxxAh88kjbsAGJxdkFQxQMpCQGGmLVXcX,Skeleton Punk #4681,Erie,Icy,Cool Glasses,Yellow Tracksuit,Blue Headphones,Golden Cross,5.04,14.08,2.23,4.29,2.01,7.17,  ,0,158.7092446897961,32.72%,1657
3764,https://d1mx8bduarpf8s.cloudfront.net/QmZ4xBkKXSa2QFZCoJYQq5YEpfbgcXuFyTMgLGfidroRAJ,Skeleton Punk #3764,Pink Sky,Beige,Blue,Golden Suit,Red Bandana,Golden Cross,6.58,16.63,7.94,1.62,2.03,7.17,6  LUNA,620,158.69003324185846,32.74%,1658
4539,https://d1mx8bduarpf8s.cloudfront.net/QmbJ6nL6f9em2YktLH1bKm2GbhbnKbJ4AVtZ1TttFrYf9T,Skeleton Punk #4539,Retro Lightning,Beige,3D Glasses,Iced Out Gold Chain,Headband,Silver Earring,1.99,16.63,4.60,1.99,4.29,13.72,39.69  LUNA,4104,158.64812154884984,32.76%,1659
4521,https://d1mx8bduarpf8s.cloudfront.net/QmNeRZdDRF93euoG2A6vpKYvZ8QUGjYUVA4GQiT3RDxCkZ,Skeleton Punk #4521,Mystical Desert,Beige,Blindfold X,Yellow Tracksuit,Leaf Wreath,Big Silver Earring,4.17,16.63,1.97,4.29,2.63,6.04,  ,0,158.61486488919456,32.78%,1660
2026,https://d1mx8bduarpf8s.cloudfront.net/QmaiVyxmz8kpB6Y83e3f4ZzXtbQ5i39CbPxiFiXqrUnZAN,Skeleton Punk #2026,Pink Sky,Demon,Pyrex Vision,Yellow Tracksuit,Black Pompadour,Silver Cross,6.58,8.27,1.42,4.29,3.65,9.74,  ,0,158.60764317171638,32.80%,1661
412,https://d1mx8bduarpf8s.cloudfront.net/QmWPquoBX5DbkJzoWhGyp1Qo7KkuERudWAHavT7HMm6eFm,Skeleton Punk #412,Night,Demon,Robot,Thorstarter Shirt,Blue Bandana,Big Silver Earring,6.85,8.27,2.13,2.84,3.00,6.04,  ,0,158.5999434338613,32.82%,1662
3000,https://d1mx8bduarpf8s.cloudfront.net/QmQwU1qL1ifBnJg8cWKRRyukQsMaZvtviqiagyzZmnZ7QN,Skeleton Punk #3000,Barren Night,Demon,Lava Glasses,Skelly Tee,Pirate Hat,Silver Cross,3.36,8.27,1.76,7.78,2.73,9.74,  ,0,158.5932798789466,32.84%,1663
252,https://d1mx8bduarpf8s.cloudfront.net/QmdJ4xf3Hsr7a9B7EQ24PX6aup1MZ8EuvyFG2uKRkUmXgg,Skeleton Punk #252,New Land,Void,Blue Glasses,Yellow Tracksuit,Arrow,Big Golden Earring,3.38,15.38,3.81,4.29,2.59,2.92,  ,0,158.56212920094342,32.86%,1664
4399,https://d1mx8bduarpf8s.cloudfront.net/QmfWV6k4uCiWN9oG6MB6c7hGBSfGVj8dYuEkMMCbBoCV2z,Skeleton Punk #4399,Brick Wall,Void,Stoned,Golden Suit,Headband,Golden Earring,4.88,15.38,3.04,1.62,4.29,7.39,  ,0,158.5183930659398,32.88%,1665
3436,https://d1mx8bduarpf8s.cloudfront.net/QmemSRYJz3KKegJNJjNgNBPp2wwiGQVzRKDLMA8V1LZSUW,Skeleton Punk #3436,Pink Sky,Demon,Blindfold,Yellow Tracksuit,Golden Crown,Rose,6.58,8.27,7.44,4.29,1.44,3.99,29  LUNA,2999,158.5010622786737,32.90%,1666
3862,https://d1mx8bduarpf8s.cloudfront.net/QmQwxy2NV5vWiHwt7zTJVJ7ELidFDGS9RZPGzGybqeb2FB,Skeleton Punk #3862,New Land,Demon,Blue,Molten,Green Headphones,Golden Earring,3.38,8.27,7.94,1.66,3.30,7.39,  ,0,158.4461433985068,32.92%,1667
549,https://d1mx8bduarpf8s.cloudfront.net/QmXUzJc3mTyY8bB6gCRvY53z1ASfmwohmUzdoNZ1bEaMpa,Skeleton Punk #549,Frozen Planet,Void,Gray VR,Green Ninja,Headband,Cigar,4.17,15.38,5.53,1.30,4.29,10.21,  ,0,158.445005377925,32.94%,1668
454,https://d1mx8bduarpf8s.cloudfront.net/QmY2uo62DXU2e7RsPU1WDruswYgEp78ZCuX2A7yst8C6Dp,Skeleton Punk #454,Pyramid,Demon,Green,Prisoner Shirt,Military Cap,Golden Jaw,2.73,8.27,7.74,3.77,3.61,2.35,  ,0,158.43978037678318,32.96%,1669
1724,https://d1mx8bduarpf8s.cloudfront.net/Qmaddkzv7qyCBSnTAVTFFsLHYivAv43yTAPkBrmxTz6z2i,Skeleton Punk #1724,Purple Graveyard,Cold,Gray VR,King's Purple Robe,MrFrog,None,4.98,5.00,5.53,2.27,1.88,34.52,  ,0,158.43383359584732,32.98%,1670
2814,https://d1mx8bduarpf8s.cloudfront.net/Qme1jtqaNZZXEgzNnpJNXhsaAXmWDFjgz3ti2yqc4TwVYK,Skeleton Punk #2814,Terra Planet,Lavender,Green Glasses,Runic Mystery,Viking Helmet,Silver Earring,5.77,7.50,3.85,1.88,2.43,13.72,  ,0,158.40033811259272,33.00%,1671
1535,https://d1mx8bduarpf8s.cloudfront.net/QmajbySf2H7Lq4itBFR7MN14tpPMVKr4ANj5ZWmYQqkwqU,Skeleton Punk #1535,Ozone,Demon,Purple VR,Orange Astronaut,Golden Bandana,Cigar,3.44,8.27,3.73,2.61,2.37,10.21,  ,0,158.34162527402486,33.02%,1672
2692,https://d1mx8bduarpf8s.cloudfront.net/QmPagv1oHV7YHzE6Fhh6M4jCr4UhmSwCvqBJWkQjv4BpYZ,Skeleton Punk #2692,Frosty Mountains,Beige,Light Blue Glasses,Prisoner Shirt,Golden Leaf Wreath,Silver Earring,4.30,16.63,4.19,3.77,1.40,13.72,  ,0,158.25376563492725,33.04%,1673
3454,https://d1mx8bduarpf8s.cloudfront.net/QmUFQm4A4UA1864yLxS94n3BxyomaFVyKXa4QnDHjVZmpB,Skeleton Punk #3454,Terra Planet,Void,Robot,Golden Pads,None,None,5.77,15.38,2.13,1.28,14.91,34.52,  ,0,158.2439987383662,33.06%,1674
4974,https://d1mx8bduarpf8s.cloudfront.net/QmZFuzZjnsmGvk8cE8z5deSRfqBEvjGmZLC3wRMxQ68k3i,Skeleton Punk #4974,Pink Sky,Lavender,Eyepatch,Atlo Streetwear,Green Headphones,Rose,6.58,7.50,5.19,1.82,3.30,3.99,  ,0,158.22441433336772,33.08%,1675
1939,https://d1mx8bduarpf8s.cloudfront.net/QmW3Roha8yK6HPMPy3ZnSedv8CKhTB4KE1N6FJH7P4PyTx,Skeleton Punk #1939,Erie,Void,Black,Orange Astronaut,Golden Crown,Golden Earring,5.04,15.38,9.46,2.61,1.44,7.39,15  LUNA,1551,158.20509675933422,33.10%,1676
1005,https://d1mx8bduarpf8s.cloudfront.net/QmYvHGzACwC7dsAhiFCHGWWrqcSrLTNRMGEQEuY75oKfxE,Skeleton Punk #1005,Mystical Desert,Afflicted,Purple,Golden Suit,Blue Bandana,Silver Cross,4.17,7.90,6.18,1.62,3.00,9.74,  ,0,158.1826060465127,33.12%,1677
1030,https://d1mx8bduarpf8s.cloudfront.net/QmNe8yBRidFp3PQSMgtoTNH2nXgHDrScmLxzses1LtXwdM,Skeleton Punk #1030,Luart,Icy,Blue Glasses,Knight,Arrow,None,3.28,14.08,3.81,1.90,2.59,34.52,  ,0,158.1502640782656,33.14%,1678
2942,https://d1mx8bduarpf8s.cloudfront.net/QmPc45LNJn5QEqsd7uBQHVR9wdPNwcKPYN2CL48vQhs4Bg,Skeleton Punk #2942,Brick Wall,Cold,Eyepatch,Thorstarter Shirt,Blue Headphones,Golden Earring,4.88,5.00,5.19,2.84,2.01,7.39,69  LUNA,7135,158.12641986195658,33.16%,1679
4023,https://d1mx8bduarpf8s.cloudfront.net/QmZd7Y3FdiJHDBWVsjvqfjuWdXCaXQi7mazFV88i7CRXah,Skeleton Punk #4023,Terra Planet,Beige,Blindfold X,Ninja Suit,Military Cap,Silver Earring,5.77,16.63,1.97,2.03,3.61,13.72,  ,0,158.12022816137946,33.18%,1680
4807,https://d1mx8bduarpf8s.cloudfront.net/QmcUnVRiScEBKCp3eBc27F77T3HEgCcd4HXa3hmLgufAaP,Skeleton Punk #4807,Brick Wall,Beige,Eyepatch,Molten,Red Bandana,None,4.88,16.63,5.19,1.66,2.03,34.52,  ,0,158.11881692571,33.20%,1681
3236,https://d1mx8bduarpf8s.cloudfront.net/Qma9oXCBZePALYsgLX9rnVDZHDFpeTWgxucHusfhtkFpzA,Skeleton Punk #3236,Barren Night,Lavender,Gray VR,Golden Suit,Purple Mohawk,None,3.36,7.50,5.53,1.62,3.10,34.52,  ,0,158.10816517196963,33.21%,1682
4243,https://d1mx8bduarpf8s.cloudfront.net/QmQGWUEV9CF3BNUdAwRbHHMW46b6Y6YSrF3BFaUBvZ5Niu,Skeleton Punk #4243,Purple Graveyard,Grey,Stoned,Motorcycle Jacket,Golden Leaf Wreath,Cigar,4.98,17.75,3.04,5.45,1.40,10.21,10.5  LUNA,1086,158.07802118649116,33.23%,1683
578,https://d1mx8bduarpf8s.cloudfront.net/Qmb9jFvqyLthtWfyVuH85LyejacmvqkbmUdDM8MfdRZUSf,Skeleton Punk #578,Sand Temple,Beige,Stoned,Police Uniform,Purple Halo,Cigar,3.00,16.63,3.04,2.92,2.39,10.21,  ,0,158.07558501037184,33.25%,1684
